precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLORIAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU-SĂLĂJANU DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","CRIŞAN VALERIU-RADU-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PETER TEODOR-PARTIDUL MIȘCAREA POPULARĂ-voturi","SZILÁGYI RÓBERT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","STANCIU GHEORGHE-PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi"
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1293,1268,15,10,0,576,566,0,10,0,563,13,1431,855,196,210,16,10,85,46
33,SĂLAJ,"CLĂDIRE MULTIFUNCŢIONALĂ",76,BĂBENI,140084,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",90,79,0,7,4,75,64,0,7,4,73,2,94,19,45,23,0,3,1,1
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1257,1242,3,12,0,496,484,0,12,0,472,13,1421,936,161,185,24,24,52,26
33,SĂLAJ,"CLUBUL COPIILOR",61,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1683,1673,1,9,0,699,689,1,9,0,669,30,1878,1179,126,385,17,29,96,16
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1867,1849,8,10,0,861,851,0,10,0,845,16,2062,1201,254,273,19,34,229,36
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",931,918,0,11,2,360,347,0,11,2,353,7,1047,687,147,104,12,24,56,10
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1088,1074,2,12,0,390,378,0,12,0,386,4,1230,840,145,130,19,23,47,22
33,SĂLAJ,"COLEGIUL TEHNIC ”IULIU MANIU”",59,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1543,1524,7,11,1,674,661,1,11,1,636,38,1706,1032,118,317,19,22,141,19
33,SĂLAJ,"CORP B , BIBLIOTECA COMUNALĂ",73,BĂBENI,140084,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",472,413,2,35,22,470,413,0,35,22,328,18,490,144,147,101,12,56,2,10
33,SĂLAJ,"DIRECŢIA DE SĂNĂTATE PUBLICĂ SĂLAJ",9,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1043,1027,6,8,2,452,442,0,8,2,438,14,1161,709,158,151,12,12,87,18
33,SĂLAJ,GRĂDINIȚA,301,"VALCĂU DE JOS",142952,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",202,194,0,6,2,151,143,0,6,2,149,2,211,60,44,93,4,3,2,3
33,SĂLAJ,GRĂDINIȚĂ,52,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",391,376,0,11,4,225,210,0,11,4,217,8,418,193,61,34,96,18,2,6
33,SĂLAJ,"GRĂDINIȚA BOBOTA",89,BOBOTA,140280,1,PROV,PRCNCT,PCJ,PCJ_SV,"2020-09-28 12:00:01",1171,1146,1,12,12,694,670,0,12,12,670,24,1260,566,233,369,20,22,7,19
