1,20,8,2020,14404,29,1407,,0,GAUCHO-SOFT BRONCE,KALBVELOUR TOFFEE,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,VA 12ML CAFFEE,YL-264 NEW MORO,RX-55_15_100 TOFFEE_BLAU_ROT,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0971-30,SERAFIL 0971-60,SERAFIL 1000-60,SERAFIL 2000-60,SERAFIL 1000-30,,
1,,,,43303,74,1407,637,120,0,0,0,13.8,7.08,2.4,2.196,2.16,0.72,4.2,240,120,1650,2442,1560,,,,,,
1,,,,43303,74,1407,649,120,0,0,0,13.8,7.08,2.4,2.196,2.16,0.72,4.2,240,120,1650,2442,1560,,,,,,
1,,,,43311,79,1407,,0,KALBVELOUR SCHWARZ,GAUCHO-SOFT SCHWARZ,PEPITAKID SCHWARZ,MICROLINE SCHWARZ,DELIKA SCHWARZ,HEELGRIP SCHWARZ,JAGER,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,RV 8 9 SCH ARA NEW SCHWARZ_SCHWARZ,RX-55_10_090 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 4000-20,SERAFIL 1000-30,,,,,
1,,,,43311,79,1407,,0,,,,0.104,0.024,0.024,0.0154,0.012,0.005,0.035,2,1,11.8,17.4,0.9,13,,,,,
1,,,,43311,79,1407,661,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,673,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,685,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,697,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,709,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,721,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,733,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,745,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
1,,,,43311,79,1407,757,120,0,0,0,12.48,2.88,2.88,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,,,,
